,name,category_code,founded_year,total_money_raised,address1,city,country_code,latitude,longitude
3,RazorGator,ecommerce,2011,$58.8M,11150 Santa Monica Blvd. Suite 500,Los Angeles,USA,34.047312,-118.445243
4,Social Gaming Network,games_video,2011,$17.1M,9570 W. Pico Blvd 3rd Floor,Los Angeles,USA,37.446823,-122.161523
